,id,time,text,image_link,image_flag,video_link,video_flag,products,product_flag
0,ASICSamerica_1613492003,2021-02-16,2020 was a lesson on falling. 2021 is about learning how to get back up when you’re down. Challenge accepted.,https://scontent-iad3-1.xx.fbcdn.net/v/t15.5256-10/146416550_516762705967276_1298501453047915230_n.jpg?_nc_cat=105&ccb=1-3&_nc_sid=f2c4d5&_nc_ohc=bAoBtbdgu3AAX8C17gj&_nc_ht=scontent-iad3-1.xx&oh=adb304faa96c42279045da8a7e746427&oe=60BC1C30,Yes,https://www.facebook.com/ASICSamerica/videos/516761712634042/?t=0,Yes,[],No
1,ASICSamerica_1622641722,2021-06-02,"Move your mind, uplift the world. ✨
On this Global Running Day, we are excited to share the all-new Mind Uplifter™ tool - the world's first, live study into the impact of movement on the mind. Take part in our Uplifting Minds Run series and test out the Mind Uplifter™ tool to understand the impact of movement on your mind.
Learn more: https://asics.tv/3vKk1yi",['https://scontent-iad3-1.xx.fbcdn.net/v/t1.6435-9/195736057_4223883990997612_345256668492553745_n.jpg?_nc_cat=103&ccb=1-3&_nc_sid=2d5d41&_nc_ohc=BYF3IVvbrGYAX9na7g9&_nc_ht=scontent-iad3-1.xx&oh=63fca44b10fee7511b8392da8a61558c&oe=60DBE8F4'],Yes,,No,[],No
2,ASICSamerica_1622128006,2021-05-27,Summertime looks for the whole family – introducing our Crazy Cookout collection. https://asics.tv/3wz07X5,['https://scontent-iad3-1.xx.fbcdn.net/v/t1.6435-0/p640x640/191383688_4206483492737662_5157951499165768687_n.jpg?_nc_cat=111&ccb=1-3&_nc_sid=2d5d41&_nc_ohc=xNMJgtEkrzAAX9Akrjz&_nc_ht=scontent-iad3-1.xx&tp=6&oh=22e82db34f68f58e6de7f24bb14229e9&oe=60DD7EF5'],Yes,,No,['https://www.facebook.com/commerce/products/3957984437624317/'],Yes
3,ASICSamerica_1621006210,2021-05-14,There is still time to run and donate to NAMI-NYC: https://asics.tv/3ef9MvJ,['https://scontent-iad3-1.xx.fbcdn.net/v/t1.6435-9/186528939_4166138193438859_3943453284787274083_n.png?_nc_cat=108&ccb=1-3&_nc_sid=2d5d41&_nc_ohc=Vlq_2WVpJjYAX-eZr57&_nc_ht=scontent-iad3-1.xx&oh=8a3cfaa83a9002ac76c0f202930a3d32&oe=60DC7FE8'],Yes,,No,[],No
4,ASICSamerica_1620399355,2021-05-07,"Johnny Gregorek's running mantra? ""Don't compare yourself to others. Try to be the best version of yourself 7 days a week.""
Join Johnny in the 2021 ASICS Blue Jean Mile by registering now: https://asics.tv/3ef9MvJ","['https://scontent-iad3-1.xx.fbcdn.net/v/t1.6435-9/p843x403/183281958_4144053392314006_3149680792595511101_n.jpg?_nc_cat=102&ccb=1-3&_nc_sid=8024bb&_nc_ohc=xKzgvyOOcoEAX9SsoYW&_nc_ht=scontent-iad3-1.xx&tp=6&oh=3dde1a4ff501f4de2d8e27ee1aa5a63c&oe=60DE6DF6', 'https://scontent-iad3-1.xx.fbcdn.net/v/t1.6435-0/p526x296/183281957_4144053408980671_1866487315504482772_n.jpg?_nc_cat=111&ccb=1-3&_nc_sid=8024bb&_nc_ohc=Z4sAyokbXtgAX_WwQsW&_nc_oc=AQltOHbeMr_KQ1Nmh1td2jC9-PjaP6hAM4NgIWuqDQtnk48Ft2xn0L3xSDa_idsLdxY&_nc_ht=scontent-iad3-1.xx&tp=6&oh=734ef516b6cc52ae169c0058a0cdb79d&oe=60DDD0EF', 'https://scontent-iad3-1.xx.fbcdn.net/v/t1.6435-0/p526x296/183270187_4144053428980669_9035703023845812547_n.jpg?_nc_cat=105&ccb=1-3&_nc_sid=8024bb&_nc_ohc=D7cJFhJppCAAX_NX4Z1&_nc_ht=scontent-iad3-1.xx&tp=6&oh=c1f4f0a62169b58447f8c4824ded034b&oe=60DF25AD']",Yes,,No,['https://www.facebook.com/commerce/products/5459969600742000/'],Yes
5,ASICSamerica_1620133383,2021-05-04,"This year, we've inviting YOU to join in on the fun! With our partners at Race Roster and ASICS Runkeeper we are so excited to announce the 2021 virtual Blue Jean Mile. The race is FREE to participate, and you can register now – May 31 by clicking here: https://asics.tv/3ef9MvJ",['https://scontent-iad3-1.xx.fbcdn.net/v/t1.6435-9/s1080x2048/182260251_4134623579923654_1150396344493694046_n.jpg?_nc_cat=106&ccb=1-3&_nc_sid=2d5d41&_nc_ohc=UCHeTpji_uAAX9ZY8qM&_nc_ht=scontent-iad3-1.xx&tp=7&oh=0a74d24818135ccf061b22177e3a2c17&oe=60DD64D2'],Yes,,No,[],No
6,ASICSamerica_1620046981,2021-05-03,"This Mental Health Awareness Month, we are honored to play a small role in ASICS athlete, Johnny Gregorek's story. 💙",https://scontent-iad3-1.xx.fbcdn.net/v/t15.5256-10/126903121_315532546675167_2135757092700678333_n.jpg?_nc_cat=102&ccb=1-3&_nc_sid=f2c4d5&_nc_ohc=b5lr-LyTjXYAX8XqJF4&_nc_ht=scontent-iad3-1.xx&oh=61b926c7bbcbc7de80471561e1fda680&oe=60BC622B,Yes,https://www.facebook.com/ASICSamerica/videos/315529933342095/?t=0,Yes,[],No
7,ASICSamerica_1619480051,2021-04-26,"Sound Mind, Sound Body™ 💙",https://scontent-iad3-1.xx.fbcdn.net/v/t1.6435-1/p160x160/194897939_10157800574677687_5797431118173707210_n.jpg?_nc_cat=1&ccb=1-3&_nc_sid=dbb9e7&_nc_ohc=T-qZtISr2MUAX87CRrI&_nc_ht=scontent-iad3-1.xx&tp=6&oh=3a51c06df9a84d445e575f06c791da49&oe=60DBEDFF,Yes,,No,[],No
8,ASICSamerica_1619101855,2021-04-22,"Our sustainability commitment: to achieve a sound mind in a sound body, we need a sound earth. Learn more about how we’re making sustainable shoes and a lighter footprint for a brighter tomorrow. https://asics.tv/3xawtbP",https://scontent-iad3-1.xx.fbcdn.net/v/t15.5256-10/174021600_207929330807007_4802389478750730670_n.jpg?_nc_cat=109&ccb=1-3&_nc_sid=f2c4d5&_nc_ohc=8egwwysih0cAX-RDof0&_nc_ht=scontent-iad3-1.xx&oh=ad6e3fa9c157418cb5e1d46eb80e5bec&oe=60BD204B,Yes,https://www.facebook.com/ASICSamerica/videos/207926467473960/?t=0,Yes,[],No
9,ASICSamerica_1618432870,2021-04-14,,['https://scontent-iad3-1.xx.fbcdn.net/v/t45.1600-4/cp0/q75/spS444/s480x480/172718802_6236994771240_6890889111570004531_n.jpg?_nc_cat=106&ccb=1-3&_nc_sid=67cdda&_nc_ohc=dycx9OIdHbgAX8uvyIe&_nc_ht=scontent-iad3-1.xx&tp=31&oh=ea44afa5df79b6f4dd0a04cd7aaa3945&oe=60BC7F2A'],Yes,,No,[],No
10,ASICSamerica_1618412371,2021-04-14,"By reducing our CO2 emissions and by making sustainable products in part from recycled materials, we've committed to creating a sound earth for the next generation. Learn more about our sustainability efforts, here: https://asics.tv/32rF0ZT",['https://scontent-iad3-1.xx.fbcdn.net/v/t1.6435-9/p720x720/173736641_4077295758989770_4901556936352984993_n.jpg?_nc_cat=110&ccb=1-3&_nc_sid=2d5d41&_nc_ohc=K0zjxF7-5Z0AX9PD-LB&_nc_ht=scontent-iad3-1.xx&tp=6&oh=200289d2896013fa13cc34dffa04e8fc&oe=60DDCCFB'],Yes,,No,[],No
11,ASICSamerica_1618349585,2021-04-13,"Escape the everyday in the new GEL-CUMULUS™ 23 running shoe. Made for a smooth ride, a comfortable fit and a clear-headed run.",https://external-iad3-1.xx.fbcdn.net/safe_image.php?d=AQFUrXpvoLGxZKBU&w=600&h=600&url=https%3A%2F%2Fsprcdn-assets.sprinklr.com%2F1171%2Fdd925029-eadb-4a9f-a963-f8f117e82385-760476636.jpg&cfs=1&ccb=3-5&_nc_hash=AQHJglLOYhLcagxe,Yes,,No,[],No
12,ASICSamerica_1617895541,2021-04-08,per·se·ver·ance: persistence in doing something despite difficulty or delay in achieving success.,https://scontent-iad3-1.xx.fbcdn.net/v/t15.5256-10/158835209_1805065666319659_1281549338351292275_n.jpg?_nc_cat=110&ccb=1-3&_nc_sid=f2c4d5&_nc_ohc=4LlLo_chNZkAX_LwDRb&_nc_ht=scontent-iad3-1.xx&oh=569f77f8b995b23b99034e26353ac52f&oe=60BC64B2,Yes,https://www.facebook.com/ASICSamerica/videos/1805062662986626/?t=0,Yes,[],No
13,ASICSamerica_1617808514,2021-04-07,"Boundless energy. Limitless possibilities. When the run feels easy, everything else feels doable. Discover energy-saving GUIDESOLE™ technology in our EVORIDE™ 2 and GLIDERIDE™ 2 running shoes.",https://external-iad3-1.xx.fbcdn.net/safe_image.php?d=AQEH_ywyYjqbxh5v&w=600&h=600&url=https%3A%2F%2Fsprcdn-assets.sprinklr.com%2F1171%2Ff8146ce2-d790-4b4f-8c26-ea1ea5d63d66-832869713.jpg&cfs=1&ccb=3-5&_nc_hash=AQEwa9tGTVbJ0JL1,Yes,,No,[],No
14,ASICSamerica_1617219346,2021-03-31,"Full speed ahead. Introducing the METASPEED™ SKY shoe--a change of pace for racing shoes.
Available on asics.com, 4/8.",https://scontent-iad3-1.xx.fbcdn.net/v/t15.5256-10/161112993_756736901712823_6818250530270155726_n.jpg?_nc_cat=100&ccb=1-3&_nc_sid=f2c4d5&_nc_ohc=KhrD5mCcSGsAX-4Dp4z&_nc_ht=scontent-iad3-1.xx&oh=4ec678b8f3b4083798bd0269bd3bb8e8&oe=60BBD2CB,Yes,https://www.facebook.com/ASICSamerica/videos/756735818379598/?t=0,Yes,[],No
15,ASICSamerica_1616972400,2021-03-28,Get ready to race to the top in our brand-new collection created to help you go faster—no matter how you run.,https://scontent-iad3-1.xx.fbcdn.net/v/t15.5256-10/159853074_1504617346596474_5678903924260867572_n.jpg?_nc_cat=104&ccb=1-3&_nc_sid=f2c4d5&_nc_ohc=1NEaut9Wh9MAX_j8oOu&_nc_ht=scontent-iad3-1.xx&oh=b767d2f9c80ee8dcec72193f93e4b346&oe=60BCF83B,Yes,https://www.facebook.com/ASICSamerica/videos/1504615379930004/?t=3,Yes,[],No
16,ASICSamerica_1616077988,2021-03-18,Repurposing textile waste to create new styles—and a sustainable earth. The limited-edition METARIDE™ running shoe and GEL-QUANTUM 360™ sneaker are made for you and the planet.,https://external-iad3-1.xx.fbcdn.net/safe_image.php?d=AQGu5kwwsWXyUFWC&w=600&h=600&url=https%3A%2F%2Fsprcdn-assets.sprinklr.com%2F1171%2Fa4ace62b-a417-45a6-86f6-38438c3f3a15-987465527%2FSS21_Sunrise_Reborn_Pack_Organ.jpg&cfs=1&ccb=3-5&_nc_hash=AQHppXTtn4Gm65xb,Yes,,No,[],No
17,ASICSamerica_1615928730,2021-03-16,"""As an athlete my mind and body have to be on the same page to create fluidity. A sound mind is going to create a sound body, a sound body is going to create a sound mind."" - Demek Kemp, ASICS Elite Athlete",https://scontent-iad3-1.xx.fbcdn.net/v/t15.5256-10/157284197_1114520275655423_8920400202509065006_n.jpg?_nc_cat=107&ccb=1-3&_nc_sid=f2c4d5&_nc_ohc=Q6A3t3Cun1EAX8YHO7K&_nc_ht=scontent-iad3-1.xx&oh=4208040bc1ad8641ce53f086f243dca1&oe=60BD1DF4,Yes,https://www.facebook.com/ASICSamerica/videos/1114461738994610/?t=0,Yes,[],No
18,ASICSamerica_1615557603,2021-03-12,All eyes on our new racing shoes that are dropping very soon. Running faster is going to get easier. Stay tuned. 👀,['https://scontent-iad3-1.xx.fbcdn.net/v/t1.6435-0/p180x540/159870993_3977618842290796_6818200084543215139_n.jpg?_nc_cat=108&ccb=1-3&_nc_sid=2d5d41&_nc_ohc=-XaoGgbInSgAX-ZTEGK&_nc_ht=scontent-iad3-1.xx&tp=6&oh=eb4c0a72c32f3d7c4890b3ac784de444&oe=60DE23A2'],Yes,,No,[],No
19,ASICSamerica_1615311092,2021-03-09,"Meet our Sakura Collection– footwear & apparel designed for athletes, culture creators, trendsetters & everything in-between. 🌸 https://asics.tv/30r6zRN",https://external-iad3-1.xx.fbcdn.net/safe_image.php?d=AQFmDB6e6sP72ol2&w=600&h=600&url=https%3A%2F%2Fsprcdn-assets.sprinklr.com%2F1171%2F55fdc8fa-b402-437a-bac8-9576632b67f3-201492638%2Fresized-preview.jpg&cfs=1&ccb=3-5&_nc_hash=AQFoXwrHoWF2VS3c,Yes,,No,[],No
20,ASICSamerica_1615215353,2021-03-08,"🌟 International Women’s Day 🌟
We're spending the day celebrating the women in our lives who inspire us every day.
Tag a woman/women in your life that you want to celebrate in the comments below. ⬇️",['https://scontent-iad3-1.xx.fbcdn.net/v/t1.6435-9/p720x720/158199189_3966922683360412_1163295515030461476_n.jpg?_nc_cat=107&ccb=1-3&_nc_sid=2d5d41&_nc_ohc=KBczAwbsU1AAX_H7MYf&_nc_ht=scontent-iad3-1.xx&tp=6&oh=e55e18f142e6c448be47ba3d71b0aba1&oe=60DC6774'],Yes,,No,[],No
21,ASICSamerica_1614862802,2021-03-04,"""Just run. Block out everything & attack each barrier one hurdle at a time."" - Payton Chadwick, ASICS Elite Athlete",https://scontent-iad3-1.xx.fbcdn.net/v/t15.5256-10/150075143_886709128780377_2073975875526495771_n.jpg?_nc_cat=104&ccb=1-3&_nc_sid=f2c4d5&_nc_ohc=CPQ5e9i9FUEAX84LinE&_nc_ht=scontent-iad3-1.xx&oh=592dffaa975abf31c0fd3d2c1e98ec2e&oe=60BC0756,Yes,https://www.facebook.com/ASICSamerica/videos/886708555447101/?t=0,Yes,[],No
22,ASICSamerica_1614556800,2021-02-28,"“Everybody goes through adversity, everybody goes through challenges, everybody goes through hardships, but what do you do about it?” - Kiara Parker, ASICS Elite Athlete",https://scontent-iad3-1.xx.fbcdn.net/v/t15.5256-10/151028181_243216790866433_8623839997694231177_n.jpg?_nc_cat=102&ccb=1-3&_nc_sid=f2c4d5&_nc_ohc=R3W1ZAQHC_YAX_mMFKa&_nc_ht=scontent-iad3-1.xx&oh=f64688d4450b008728324f12b054a527&oe=60BCA0A6,Yes,https://www.facebook.com/ASICSamerica/videos/243215880866524/?t=0,Yes,[],No
23,ASICSamerica_1614434411,2021-02-27,Happy 10th Anniversary to our GT-1000™ sneaker. 💙,https://external-iad3-1.xx.fbcdn.net/safe_image.php?d=AQEe8TFEP1QXF-Pa&w=600&h=600&url=https%3A%2F%2Fsprcdn-assets.sprinklr.com%2F1171%2F6200aa62-c888-47d5-b3da-dfd96d7767aa-201498342%2Fresized-preview.png&cfs=1&ccb=3-5&_nc_hash=AQFsDFcO0JKQ3La9,Yes,,No,[],No
24,ASICSamerica_1612892426,2021-02-09,How much faster will you go? The updated EVORIDE™ 2 shoe is more lightweight than before for runs that feel effortless. https://asics.tv/3tGdjIY,['https://scontent-iad3-1.xx.fbcdn.net/v/t1.6435-0/p180x540/148862152_3890423927676955_5007074482228746981_n.jpg?_nc_cat=111&ccb=1-3&_nc_sid=2d5d41&_nc_ohc=Eyq2YIq9YvkAX841sT1&_nc_ht=scontent-iad3-1.xx&tp=6&oh=588064f6c267fe2767d8103db0f637f5&oe=60DE7E30'],Yes,,No,"['https://www.facebook.com/commerce/products/3609843079050756/', 'https://www.facebook.com/commerce/products/4103285646381616/']",Yes
25,ASICSamerica_1611095692,2021-01-19,,https://scontent-iad3-1.xx.fbcdn.net/v/t1.6435-9/139724861_3834520043267344_367922703293764548_n.jpg?_nc_cat=110&ccb=1-3&_nc_sid=85a577&_nc_ohc=OxWxFAZMMmQAX8NaON6&_nc_ht=scontent-iad3-1.xx&oh=3dd271fa7ca26370a6676caac647737e&oe=60DD7F4B,Yes,,No,[],No
26,ASICSamerica_1610552533,2021-01-13,"Over 70 years ago in 1940s Japan, Kihachiro Onitsuka founded ASICS with the belief that sport has the power to bring hope and lift spirits. This is what guides us.
Fast forward to 2021, our founding Sound Mind, Sound Body™ philosophy is perhaps more relevant than ever before, which is why we are returning to our roots, and making a Sound Mind, Sound Body™ lifestyle the core of everything we do.
Our ask of you is simple. We encourage you to get out and move your mind and body. Whether a walk, run, or workout, we look forward to supporting your moves sunrise to sunset. https://asics.tv/2LsKkqR",['https://scontent-iad3-1.xx.fbcdn.net/v/t1.6435-9/p720x720/138805949_3817858231600192_1253386898228412135_n.jpg?_nc_cat=103&ccb=1-3&_nc_sid=8024bb&_nc_ohc=o0ilVnQhRV4AX_iWjye&_nc_ht=scontent-iad3-1.xx&tp=6&oh=b4d8957d880b7774d88bcdb3c57a6b23&oe=60DBB3C3'],Yes,,No,[],No
27,ASICSamerica_1610547525,2021-01-13,"Sound Mind, Sound Body™. https://asics.tv/2LsKkqR",['https://scontent-iad3-1.xx.fbcdn.net/v/t1.6435-9/139031073_3817427374976611_7957361971700792349_n.jpg?_nc_cat=104&ccb=1-3&_nc_sid=dd9801&_nc_ohc=pBmvjc2M7q0AX-eqyAf&_nc_ht=scontent-iad3-1.xx&oh=b8c4f8679992a32c6f324827f549b387&oe=60DDF196'],Yes,,No,[],No
28,ASICSamerica_1609609761,2021-01-02,"On New Year's Day we welcomed a new bundle of joy to the family.
We’d like to introduce you to our GEL-NIMBUS Lite 2 sneaker – the lighter, FLYTEFOAM® tech filled, younger brother of our GEL-NIMBUS® shoe. https://asics.tv/3oaSDpj",['https://scontent-iad3-1.xx.fbcdn.net/v/t1.6435-9/p720x720/134706478_3789445777774771_124474735554571104_n.jpg?_nc_cat=105&ccb=1-3&_nc_sid=8024bb&_nc_ohc=7mguFn8GQMQAX_GZBZg&_nc_ht=scontent-iad3-1.xx&tp=6&oh=8853df1a2669e6978b537e872e80ec14&oe=60DBDCA5'],Yes,,No,[],No
29,ASICSamerica_1609510379,2021-01-01,"Cheers to more miles, faster speeds, and more races in 2021. Happy New Year!🥂",['https://scontent-iad3-1.xx.fbcdn.net/v/t1.6435-9/134428492_3786633324722683_1187634312335760472_n.jpg?_nc_cat=102&ccb=1-3&_nc_sid=110474&_nc_ohc=7iCoAJaTGksAX9Z7sKX&_nc_ht=scontent-iad3-1.xx&oh=3e618d6de708f3a682034bef4537c4e2&oe=60DBE8ED'],Yes,,No,[],No
30,ASICSamerica_1607484257,2020-12-08,,['https://scontent-iad3-1.xx.fbcdn.net/v/t1.6435-0/c80.0.687.360a/s526x296/139031073_3817427374976611_7957361971700792349_n.jpg?_nc_cat=104&ccb=1-3&_nc_sid=dd9801&_nc_ohc=pBmvjc2M7q0AX-eqyAf&_nc_ht=scontent-iad3-1.xx&tp=28&oh=4452777a57209c17e725254814c4832f&oe=60DD7204'],Yes,,No,[],No
31,ASICSamerica_1606945598,2020-12-02,"Your routine might look different lately, but one thing is constant: your drive to run. The GEL-NIMBUS® 23 shoe is designed to support you mile after mile.",https://external-iad3-1.xx.fbcdn.net/safe_image.php?d=AQFk7g9ndTUyOcjh&w=600&h=600&url=https%3A%2F%2Fsprcdn-assets.sprinklr.com%2F1171%2F2bc6e048-ffc6-4110-8063-981a1344c62f-515195010.jpg&cfs=1&ccb=3-5&_nc_hash=AQHTkjyVOC2lwYOS,Yes,,No,[],No
32,ASICSamerica_1606588550,2020-11-28,"Today, we fondly remember Tony. We send our love and thoughts to his family, friends and the entire Zappos.com team. Thank you for teaching us the meaning of “delivering happiness” - you will be missed by so many. 💙",['https://scontent-iad3-1.xx.fbcdn.net/v/t1.6435-9/128365113_10157409049222687_6551898019820429315_n.jpg?_nc_cat=107&ccb=1-3&_nc_sid=8024bb&_nc_ohc=pBxLX4S72QUAX_5ky0Y&_nc_ht=scontent-iad3-1.xx&oh=f2a73f763d974381606968c391f8d998&oe=60DCE106'],Yes,,No,[],No
33,ASICSamerica_1606485609,2020-11-27,"With added support for women’s arches, the GEL-NIMBUS® 23 shoe is made to keep you running strong.",https://external-iad3-1.xx.fbcdn.net/safe_image.php?d=AQGMp3XIXwernG2L&w=600&h=600&url=https%3A%2F%2Fsprcdn-assets.sprinklr.com%2F1171%2Fbb256716-4646-418c-a217-d9d61268db97-131953141.jpg&cfs=1&ccb=3-5&_nc_hash=AQF36ZbXcEx_eKhm,Yes,,No,[],No
34,ASICSamerica_1606238198,2020-11-24,"Congrats, runners! The 2020 ASICS World Ekiden is complete, and the afterparty is wherever you are. Celebrate this marathon achievement together by checking out our global leaderboard, race day highlights and global stats: https://asics.tv/2J6dyuj",['https://scontent-iad3-1.xx.fbcdn.net/v/t1.6435-0/p180x540/127602913_3686071718112178_5711065938004420442_n.jpg?_nc_cat=108&ccb=1-3&_nc_sid=2d5d41&_nc_ohc=AYopFNW-InwAX-6eEIZ&_nc_ht=scontent-iad3-1.xx&tp=6&oh=e5f1e76d0dea0a313ec640f5b06d4e0d&oe=60DD1FAF'],Yes,,No,[],No
35,ASICSamerica_1605105730,2020-11-11,The 2020 ASICS World Ekiden has begun! Follow the leaderboard to see who is leading the pack: https://bit.ly/3n862xs,['https://scontent-iad3-1.xx.fbcdn.net/v/t1.6435-0/p180x540/124832411_3649822308403786_4262063425142169185_n.jpg?_nc_cat=101&ccb=1-3&_nc_sid=2d5d41&_nc_ohc=rygYm12ZlBsAX-crLOD&_nc_ht=scontent-iad3-1.xx&tp=6&oh=669a44b5b3120412a97ba1dae7bbdecb&oe=60DCBA74'],Yes,,No,[],No
36,ASICSamerica_1603464402,2020-10-23,Looks good. Feels better. Cross the ASICS World Ekiden finish line in a pair of some of our favorite sneakers. ⬇️ ⬇️,https://external-iad3-1.xx.fbcdn.net/safe_image.php?d=AQH_et8dHoAC68O_&w=600&h=600&url=https%3A%2F%2Fsprcdn-assets.sprinklr.com%2F1171%2F7a36b633-221e-4bb2-985d-7df7d5f9dbc2-576095961.jpg&cfs=1&ccb=3-5&_nc_hash=AQFbtraENhiOc0Ec,Yes,,No,[],No
